day,p05,p50,p95
0,0.9808001129386477,1.0007054329251535,1.0207646583137318
1,0.9734068064640863,1.0016269377852278,1.0297325270593314
2,0.9677672386483318,1.0020367254196128,1.0371247821551557
3,0.9634971770639623,1.0031139418310655,1.0430093935152636
4,0.9600263511714162,1.0041397141202966,1.048644621976944
5,0.956468103869245,1.0046991503819402,1.054255217047564
6,0.9533018233770594,1.0053053489373134,1.0593329535872864
7,0.9509311674063061,1.0058372591762752,1.0648882260092303
8,0.9474943752215675,1.0066402721825396,1.0686036740857991
9,0.9456003548809002,1.0067074693945544,1.0730499956565924
10,0.9431066421651373,1.0074834639424282,1.0775514588309882
11,0.9412009986667249,1.0081704004758576,1.081386783083857
12,0.9395616097045377,1.0087432194614894,1.0859368671131817
13,0.9378793429523812,1.0096502331144226,1.0885730802058644
14,0.9350300421633077,1.0103286239137672,1.0917706818594624
15,0.9332711939884218,1.0110904650381167,1.095567508881291
16,0.9325629160787812,1.0115794824827202,1.0972237175054105
17,0.9301432426572669,1.0122839672247272,1.1010380807737896
18,0.9296760981992942,1.013279541819911,1.1038736406630305
19,0.9276330381443498,1.0132990904011185,1.1075019516266749
20,0.9258561782094091,1.0137441370346516,1.1112604522332208
21,0.9233084893397008,1.0149573683874151,1.1145943389153268
22,0.9232593594715862,1.0160855091529468,1.1177123346375986
23,0.9212888338388524,1.0166044766488262,1.1192414570951232
24,0.9200703474407298,1.017778229870494,1.1227887033695558
25,0.9180914802925763,1.0189558681456696,1.125337474290837
26,0.9170891104252175,1.0196807748416865,1.1285515479138395
27,0.9153840154192914,1.0196404412059545,1.1305639589547498
28,0.915674238052186,1.020224010421773,1.1322600551670325
29,0.9145319734143855,1.021503433526776,1.135284112388977
30,0.9132435678259697,1.0222175999596086,1.138699599620881
31,0.9127128987288332,1.0231065887331399,1.1434701094304665
32,0.9120566073752082,1.0237114044793652,1.146983263853432
33,0.9113263440306686,1.0249275408481997,1.1490840166058547
34,0.9087361428947042,1.025477310421921,1.1511709501247271
35,0.9077701116810285,1.0260241302308377,1.1550134222279282
36,0.9070283768067523,1.027419130390364,1.1581688478707999
37,0.906400621874087,1.0281770332252917,1.1593709577699272
38,0.905106773645088,1.0285045775805643,1.1627268412268417
39,0.9046433556718971,1.0287147996939607,1.1636842655004584
40,0.9048929234137877,1.0293683604106025,1.1660338806369759
41,0.9049419518746435,1.0308201293795929,1.1690282955326978
42,0.9039973462400114,1.0307946257879788,1.171948001867007
43,0.9031682465757204,1.0317272132238289,1.175249080545144
44,0.9019262678235439,1.0320004124145035,1.176892360569413
45,0.9001546944325971,1.0323578233752744,1.1797336013837683
46,0.9001541185366563,1.0331259843706309,1.1823882190827473
47,0.8997869673917946,1.034411604255728,1.1853292249694054
48,0.8996960301694341,1.0346091275912337,1.1882574706104134
49,0.89917600585694,1.0352814699411792,1.1918975791837485
50,0.8990321468446805,1.035897169890134,1.1943738377612763
51,0.8973539818241338,1.0372090201423552,1.1958441565858857
52,0.8978327137075174,1.0373870402633436,1.1994680825250572
53,0.8977007821395829,1.038816229376301,1.199503284390362
54,0.8967925828282653,1.0388089017620161,1.201926322793274
55,0.8963504439478506,1.0391412529314827,1.2059992139200464
56,0.8949248838591757,1.0405642049700043,1.209693641312063
57,0.8943267766828001,1.0419521186075063,1.2096539504530943
58,0.8944967107942997,1.0429328072246107,1.2139705401267216
59,0.893175410370242,1.0430275268883622,1.216265683347608
60,0.8933521824049783,1.0437958341992983,1.2189208733478194
61,0.8933363230680211,1.0450099760842813,1.222096392204553
62,0.8917025336145137,1.0460486273380873,1.222567900548642
63,0.8912744587871938,1.0468770358266961,1.2230722191586048
64,0.8892122749155144,1.0481586123656326,1.226435493749254
65,0.888518352399487,1.0478546637592858,1.228631719863079
66,0.8895314657406853,1.0490625909224014,1.2313294143407645
67,0.8888423838314294,1.0490330963912693,1.2350452312344953
68,0.8878130261797936,1.0493336612313755,1.2355241278278566
69,0.888610159835515,1.0504615427688435,1.2362783710080067
70,0.8882014710925717,1.0506788059992762,1.2385927653615927
71,0.8880234251973849,1.0515781226496719,1.2394878691333113
72,0.8863124740566198,1.0520206064831727,1.2449942802219922
73,0.886180057029931,1.0527630324675874,1.2472972884830313
74,0.8858190359213511,1.053371456693308,1.2476649722051818
75,0.8862405667416845,1.0535760850542601,1.2522825573633876
76,0.8854517615793281,1.0543151142958918,1.2540345006176992
77,0.8839884414831023,1.0550733922124622,1.257203118818154
78,0.8842581364309458,1.0556992284807873,1.25882221545431
79,0.8846608262440768,1.0571638680549746,1.262660399867137
80,0.8842192989958438,1.0580644640355321,1.263939357679281
81,0.8838222308926543,1.05891185477727,1.2658151274628908
82,0.8838033385545421,1.0591721669821341,1.2676655037657705
83,0.8833738417881001,1.0596491756004471,1.2699719691667095
84,0.883919585373949,1.0608770389555477,1.2711844508710048
85,0.8837670517474076,1.0620238014682242,1.2752842617777136
86,0.8852111782195395,1.0632516221761974,1.277774957731713
87,0.8834613492142418,1.0646678115944266,1.2802145771592202
88,0.8824038853343384,1.0649503987021796,1.2827846667873701
89,0.8818443038894249,1.0647733101920458,1.2831627274256343
90,0.8829331705740041,1.0650363420352658,1.2845984074937176
91,0.882573462078911,1.0660941093807612,1.2864462390367712
92,0.8798882178242392,1.0668036840384443,1.2872399666261145
93,0.8817854887641217,1.0681716662514615,1.2909450736621961
94,0.8816133350060193,1.0685930788497129,1.292864126946701
95,0.8805442654742025,1.0700737474711488,1.2962080542404466
96,0.8799394320404667,1.0713078967657483,1.2973695539906098
97,0.8797678807841716,1.0718644860693018,1.2994769539137572
98,0.8807346871201512,1.0730406512034651,1.3019975971309254
99,0.8795181061585332,1.0743927360523264,1.3064125856456237
100,0.8789705971724632,1.0751893386606575,1.3058226177584706
101,0.8793779514516522,1.0763674297558143,1.3094212611954577
102,0.8796945377953774,1.0762529260843083,1.309897733033294
103,0.8791242051551595,1.0762780101486635,1.3131246641682714
104,0.8792884225512007,1.0772744715959361,1.3150539366157254
105,0.8801684440889394,1.0779710381695478,1.3188230494384279
106,0.8787410731576064,1.07875219893074,1.3210135351694092
107,0.8779066468610889,1.0794785156386018,1.3236229293157913
108,0.8766659071426761,1.081141876488022,1.325994810928477
109,0.8768257211291366,1.0814516513434693,1.3272991290350824
110,0.8762499708625736,1.082289233950529,1.3288771740279695
111,0.8778323890741888,1.0828443886052912,1.3330414227284366
112,0.8779195815175845,1.0837898453897223,1.333358981476506
113,0.8777981497103697,1.0845322383178124,1.334939040532678
114,0.877487176787815,1.0852102551409069,1.3373585315923076
115,0.8768732539366415,1.0849863488216092,1.3399435251410619
116,0.8759764136575041,1.0866353381691174,1.3420628959624135
117,0.8770340810814562,1.086495957657445,1.3439546645152598
118,0.8759324585984319,1.0867165352237587,1.3464075659470252
119,0.8745284624393993,1.0883168585051775,1.3471220997076359
120,0.8750719945830577,1.0888491298992435,1.3496358197712168
121,0.8731945632568807,1.0897590838055966,1.3511695962210026
122,0.8730326961606039,1.0901292688426358,1.3541550422414976
123,0.8735633271475163,1.0911799775869864,1.3563283379715603
124,0.8752768279507641,1.0921345391985895,1.3613870228463685
125,0.8756876320041348,1.0925791675229206,1.364770313116658
126,0.875705833616973,1.0930080709619552,1.367800071328349
127,0.8759338241535878,1.0953001291812017,1.3695822112338132
128,0.8759227418423456,1.0948499478459888,1.3716026237880308
129,0.8751477599503573,1.0969059680371331,1.3750984297765507
